org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Collins+German+3000+words+and+phrases

	das wesentliche | the essentials
das wesentliche | the essentials | найнеобхідніше

rot | red | червоний
grün | green | зелений
blau | blue | блакитний
schwarz | black | чорний
weiß | white | білий
gelb | yellow | жовтий

		das wesentliche | the basics
das wesentliche | the basics | найнеобхідніше

Hallo! | Hello. | Привіт.
Hallo! | Hi! | Привіт!
Guten Morgen. | Good morning. | Добрий ранок
Guten Tag. | Good afternoon. | Добрий день.
Guten Abend. | Good evening. | Добрий вечір.
Gute Nacht. | Goodnight. | Надобраніч.
Bis bald. | See you soon. | До зустрічі.
Bis morgen. | See you tomorrow. | До завтра.
Bis Samstag. | See you on Saturday. | До суботи.
Tschüss! | Bye! | До побачення!
Schönen Tag / Abend! | Have a good day / evening! | Гарного дня / вечора!

Ja. | Yes. | Так.
Nein. | No. | Ні.; Немає.
Ich weiß nicht. | I don't know. | Не знаю.
Bitte. | Please. | Будь ласка
Ja, bitte. | Yes, please. | Так, будь ласка.
Vielen Dank. | Thank you. | Дякую тобі.
Nein, danke. | No, thanks. | Ні, дякую.
Entschuldigung. | Excuse me. | Вибачте.
Wie bitte? | Sorry? | Вибачте?
Es tut mir leid. | I'm sorry. | Мені шкода
Einverstanden! | OK! | Згоден!
Bitte. | You're welcome. | Будь ласка
Ich verstehe nicht. | I don't understand. | Я не розумію

		über sie | about you
über sie | about you | про вас

Wie alt sind Sie? | How old are you? | Скільки тобі років?
Darf ich fragen, wie alt Sie sind? | May I ask how old you are? | Можна запитати скільки вам років?
Wann haben Sie Geburtstag? | When is your birthday? | Коли твій день народження?
Ich bin ... (Jahre alt). | I'm ... years old. | Мені...років.
Ich habe am ... Geburtstag. | My birthday is on... | Мій день народження...
Ich bin ... geboren. | I was born in... | Я народився у...
Ich bin älter / jünger als... | I'm older / younger than... | Я старший / молодший за...
Wo kommen Sie her? | Where are you from? | Звідки ти родом?
Wo wohnen Sie? | Where do you live? | Де ти живеш?
Ich komme aus... | I'm from... | Я з...
... dem Vereinigten Königreich. | ... the UK. | ...Сполучене Королівство.
Ich wohne in... | I live in... | Я живу в...
Ich bin... | I'm... | Мені...
schottisch | Scottish | шотландський
englisch | English | англійська
irisch | Irish | ірландський
walisisch | Welsh | Валлійська
britisch | British | британець
Sind Sie verheiratet / ledig? | Are you married / single? | Ви одружені / неодружені?
Ich bin verheiratet. | I'm married. | Я одружений.
Ich habe einen Partner / eine Partnerin. | I have a partner. | У мене є партнер.
Ich bin ledig. | I'm single. | Я незаміжня.
Ich bin geschieden. | I'm divorced. | Я розлучений.
Ich bin verwitwet. | I'm widowed. | Я вдова.
Haben Sie Kinder? | Do you have any children? | У вас є діти?
Ich habe ... Kinder. | I have ... children. | У мене... дітей.
Ich bin kinderlos | I don't have any children. | Я бездітна

		familie und freunde | family and friends
familie und freunde | family and friends | родина та друзі

Das ist mein / meine... | This is my... | Це мій...
Das sind meine... | These are my... | Це мої...
der Ehemann | husband | чоловік
die Ehefrau | wife | дружина
der Freund | boyfriend | хлопець
die Freundin | girlfriend | подруга
der Partner | partner | партнер
die Partnerin | partner | партнер
der Verlobte | fiancé / fiancée | наречений / наречена
die Verlobte | fiancé / fiancée | наречений / наречена
der Sohn | son | син
die Tochter | daughter | дочка
die Eltern | parents | батьки
der Vater | father | батько
die Mutter | mother | мати
der Bruder | brother | брат
die Schwester | sister | сестра
der Großvater | grandfather | дідусь
die Großmutter | grandmother | бабуся
der Enkelsohn | grandson | онук
die Enkelin | granddaughter | внучка
der Schwiegervater | father-in-law | тесть
die Schwiegermutter | mother-in-law | свекруха
die Schwiegertochter | daughter-in-law | невістка
der Schwiegersohn | son-in-law | зять
der Schwager | brother-in-law | шурин
die Schwägerin | sister-in-law | невістка
der Stiefvater | stepfather | вітчим
die Stiefmutter | stepmother | мачуха
der Stiefsohn | stepson | пасинок
die Stieftochter | stepdaughter | падчерка
der Onkel | uncle | дядько
die Tante | aunt | тітка
der Neffe | nephew | племінник
die Nichte | niece | племінниця
der Cousin | cousin | двоюрідний брат
die Cousine | cousin | двоюрідний брат
die Großfamilie | extended family | розширена сім'я
der Freund | friend | хлопець / дівчина
die Freundin | friend | хлопець / дівчина
der Kollege | colleague | колега
die Kollegin | colleague | колега
das Baby | baby | немовля
das Kind | child | дитина
der Teenager | teenager | підліток

		gesundheit und wohlbefinden | general health and wellbeing
gesundheit und wohlbefinden | general health and wellbeing | здоров'я і благополуччя

Wie geht es Ihnen? | How are you? | Як справи?
Wie geht's? | How's it going? | Як справи?
Wie geht es ihm / ihr? | How is he / she? | Як він / вона?
Wie geht es ihnen? | How are they? | Як справи?
Sehr gut, danke, und Ihnen? | Very well, thanks, and you? | Дуже добре, дякую, а ви?
Danke, gut. | Fine, thanks. | Дякую добре.
Super! | Great! | Чудово!
So lala. | So-so. | Так собі.
Nicht schlecht, danke. | Not bad, thanks. | Непогано, дякую.
Es geht so. | Could be worse. | Все йде добре.
Mir geht es gut. | I'm fine. | Я добре.
Ich bin müde. | I'm tired. | Я втомився.
Ich habe Hunger / Durst. | I'm hungry / thirsty. | Я голодний / спраглий.
Ich bin satt. | I'm full. | Я ситий.
Mir ist kalt / warm. | I'm cold / warm. | Мені холодно / тепло.
Ich bin... | I am... | Мені...
Er / Sie ist... | He / She is... | Він / вона...
Sie sind... | They are... | Вони є...
glücklich | happy | щасливий
aufgeregt | excited | засмучений
ruhig | calm | спокійний
überrascht | surprised | здивований
verärgert | annoyed | роздратований
wütend | angry | злий
traurig | sad | сумний
besorgt | worried | збентежений
verängstigt | afraid | наляканий
gelangweilt | bored | мені нудно
Ich fühle mich... | I feel... | Я відчуваю...
Er / Sie fühlt sich... | He / She feels... | Він / вона відчуває...
Sie fühlen sich... | They feel... | Ви відчуваєте...
gut | well | добре
unwohl | unwell | погано; недобре
besser | better | краще
schlechter | worse | гірше

		arbeit | work
arbeit | work | працювати

Wo arbeiten Sie? | Where do you work? | Де ти працюєш?
Was machen Sie beruflich? | What do you do? | Чим ти заробляєш на життя?
Was ist Ihr Beruf? | What's your occupation? | Чим ви займаєтеся?
Arbeiten / Studieren Sie? | Do you work / study? | Ви працюєте / навчаєтесь?
Ich bin selbstständig. | I'm self-employed. | Я самозайнятий.
Ich bin arbeitslos. | I'm unemployed. | Я безробітний.
Ich bin an der Universität. | I'm at university. | Я в університеті.
Ich bin im Ruhestand. | I'm retired. | Я на пенсії.
Ich reise. | I'm travelling. | Я подорожую.
Ich arbeite zu Hause. | I work from home. | Я працюю вдома.
Ich habe eine Teilzeit- / Vollzeitbeschäftigung. | I work part- / full-time. | У мене неповний / повний робочий день.
Ich arbeite als... | I work as a / an... | Я працюю як...
Ich bin... | I'm a / an... | Я...
der Maurer | builder | будівельник
die Maurerin | builder | будівельник
der Koch | chef | кухар
die Köchin | chef | кухар
der Beamter | civil servant | державний службовець
die Beamtin | civil servant | державний службовець
der Zahnarzt | dentist | стоматолог
die Zahnärztin | dentist | стоматолог
der Arzt | doctor | лікар
die Ärztin | doctor | лікар
der Fahrer | driver | водій
die Fahrerin | driver | водій
der Elektriker | electrician | електрик
die Elektrikerin | electrician | електрик
der Ingenieur | engineer | інженер
die Ingenieurin | engineer | інженер
der Bauer | farmer | фермер
die Bäuerin | farmer | фермер
der Feuerwehrmann | firefighter | пожежник
die Feuerwehrfrau | firefighter | пожежник
der Fischer | fisherman | рибалка
die Fischerin | fisherman | рибалка
der Informatiker | IT worker | IT-працівник
die Informatikerin | IT worker | IT-працівник
der Tischler | joiner | столяр; тесля
die Tischlerin | joiner | столяр; тесля
der Journalist | journalist | журналіст
die Journalistin | journalist | журналіст
der Rechtsanwalt | lawyer | юрист
die Rechtsanwältin | lawyer | юрист
der Dozent | lecturer | викладач
die Dozentin | lecturer | викладач
der Mechaniker | mechanic | механік
die Mechanikerin | mechanic | механік
der Krankenpfleger | nurse | медсестра
die Krankenschwester | nurse | медсестра
der / die Büroangestellte | office worker | офісний працівник
der Klempner | plumber | водопровідник; сантехнік
die Klempnerin | plumber | водопровідник; сантехнік
der Polizeibeamte | police officer | поліцейський
die Polizeibeamtin | police officer | поліцейський
der Briefträger | postal worker | поштовий працівник
die Briefträgerin | postal worker | поштовий працівник
der Matrose | sailor | моряк
die Matrosin | sailor | моряк
der Verkäufer | salesperson | продавець
die Verkäuferin | salesperson | продавець
der Wissenschaftler | scientist | науковець
die Wissenschaftlerin | scientist | науковець
der Soldat | soldier | солдат
die Soldatin | soldier | солдат
der Lehrer | teacher | викладач
die Lehrerin | teacher | викладач
der Tierarzt | vet | ветеринар
die Tierärztin | vet | ветеринар
der Kellner | waiter | офіціант
