org.leo.dictionary.config.entity.ParseWords:de:en; uk:die+; das+; der+:%5C%7C:%3B:%3B:%5Ct::German+most+used

	General 

ab | from | з
ab und zu | now and again | час від часу
der Abend | evening | вечір
als | when | коли
wenn | when | коли
bald | soon | незабаром
bis bald | see you soon | до побачення!
bevor | before | перед
damals | then (= at that time) | тоді
dann | then (= at that time) | тоді
Endlich | finally | нарешті
Zuletzt | at last | нарешті
erst | not until | не раніше
früh – early | рано
gestern | yesterday | вчора
gewöhnlich | usually | зазвичай
heute | today | сьогодні
immer | always | завжди 
manchmal | sometimes | іноді
der Mittag | midday | полудень
die Mitte | middle | середина
die Mitternacht | midnight | північ
der Monat | month | місяць
morgen | tomorrow | завтра
der Morgen | morning | ранок
nachdem | after | після
nachher | afterwards | пізніше
der Nachmittag | afternoon | після обіду
nächst | next | наступний
neulich | recently | недавно
nicht mehr | no longer | вже не
nie | never | ніколи
noch | still | все ще
noch nicht | not yet | ще не
plötzlich | suddenly | раптово
schon | already | вже
sobald | as soon as | як тільки
sofort | immediately | негайно
täglich | daily | щоденно
übermorgen | day after tomorrow | післязавтра
vorgestern | day before yesterday | позавчора
vorher | previously | перед цим
der Vormittag | morning | ранок, до обіду
zuerst | at first | спочатку
aber | but | але
alle | all; everyone | всі
allein | alone | сам
also | so | отже
andere | other | інший
anderthalb | one and a half | півтора
anfangen | to begin | починати
die Antwort | answer | відповідь
antworten | to answer | відповідати
die Art | sort | вид
auch | also | також
Auf Wiedersehen | goodbye! | до побачення!
der Augenblick | moment | момент
ausgezeichnet | excellent | відмінний
außer | except for | окрім
befriedigend | satisfactory | задовільний
beginnen | to begin | починати
begrüßen | to greet | привітати
behalten | to keep | тримати
behandeln | to treat | лікувати
die Behandlung | treatment | лікування
beide | both | обидва
das Beispiel | example | приклад
bekommen | to receive | отримувати
beliebt | popular | популярний
bemerken | to notice | помічати
benutzen | to use | використовувати
bequem | comfortable | зручний
besitzen | to own | володіти
besonders | particularly | особливо
besser | better | краще
besprechen | to discuss | обговорювати
bestimmt | definitely | безперечно
bestrafen | to punish | покарати
besuchen | to visit | відвідувати
bieten | to offer | пропонувати
billig | cheap | дешевий
bisschen | a little | трошки
bitte | please | будь ласка
brauchen | to need | потребувати
brechen | to break | ламати
breit | wide | широкий
bringen | to bring | приносити
d.h. | i.e. | тобто
danke | thank you | дякую
dass | that | що
das Datum | date | дата
dauern | to last | тривати
denken | to think | думати
dies | this | це
das Ding | thing | річ
doch | yes (contradicting) | так (проте)
drücken | to press; push | натискати; натиск
dürfen | to be allowed to; may | мати дозвіл
das Dutzend | a dozen – дюжина
eben | just | тільки
ebenso | just as | так само
egal | I don’t care! | байдуже
ehemalig | former | колишній
eigen | own | власний
eilen | to hurry | поспішати
einander | one another | один одному
einige | a few | кілька
einmal | once | один раз
einverstanden | agreed | погоджено
das Ende | end | кінець
eng | narrow | вузький
entfernt | distant | далекий
entschuldigen Sie! | excuse me! | вибачте!
erinnern | to remind | нагадувати
erkennen | to recognise | впізнавати
erzählen | to tell | розповідати
es gibt | there is; are | є
es macht nichts | it doesn't matter | нічого страшного
etwa | approximately | приблизно
ungefähr | approximately | приблизно
etwas | something | щось
fallen | to fall | падати
falsch | wrong | неправильно
fast | almost | майже
fehlen | to be missing | відсутній
der Fehler | mistake | помилка
fertig | ready | готовий
finden | to find | знаходити
folgen | to follow | слідувати
die Frage | question | питання
fragen | to ask | запитувати
gar nicht | not at all | зовсім не
geben | to give | давати
genau | exactly | точно
genug | enough | достатньо
gern | gladly | з радістю
geschlossen | closed | закритий
getrennt | separately | окремий
glauben | to think; believe | вважати; вірити
gleich | immediately | негайно
glücklich | happy | щасливий
der Gott | God | Бог
gratulieren | to congratulate | вітати
der Grund | reason | причина
der Gruß | greeting | привітання
günstig | favourable | вигідний
gut | good | добре
der guten Tag | hello | добрий день
haben | to have | мати
halb | half | половина
die Hälfte | a half | половина
halten | to hold | тримати
hier | here | тут
hochachtungsvoll | yours faithfully | із повагою
hoffen | to hope | сподіватися
die Idee | idea | ідея
in Ordnung | O.K.! | в порядку!
klar! | O.K.! | в порядку!
inbegriffen | included | включено
irgendwo | somewhere (or other) | десь
ja | yes | так
je | each (=per item) | кожен; штука
das Stück | each (=per item) | кожен; штука
jeder | each; every; everybody | кожен
jemand | someone; somebody | хтось
jener | that | той
jetzt | now | зараз
kaputt | broken | зламаний
kein | no (= not any) | немає
klar | clear | ясно
können | to can | могти
kriegen | to get | отримувати
lang | long | довгий
langsam | slow | повільно
lassen | to let; leave | залишати
leider | unfortunately | на жаль
leid tun | to feel sorry for | шкода
leihen | to lend | позичати
letzt | last | останній
machen | to make | робити
mäßig | moderate | помірний
mehr | more | більше
mehrere | several | кілька
die Meinung | opinion | думка
mit freundlichen Grüßen | yours sincerely | з повагою
mögen | to like | подобатися
möglich | possible | можливий
müssen | to have to | мусити
natürlich | of course | звісно
nehmen | to take | брати
nein | no | ні
neu | new | новий
nicht | not | не
nichts | nothing | ніщо
niemand | nobody | ніхто
die Nummer | number | номер
nur | only | тільки
oder | or | або
offen | open | відкритий
öffnen | to open | відкривати
oft | often | часто
ohne | without | без
das Paar | a couple | пара
ein paar | a few – кілька


	Life in the home; friends and relationships 

begießen | to water (plants) | поливати
beißen | to bite | кусати
bewundern | to admire | захоплюватися
die Beziehung | relationship | стосунки
die Braut | bride | наречена
der Dachboden | attic | горище
echt | genuine | справжній
die Ehe | marriage | шлюб
die Eigenschaft | characteristic | властивість
der Eindruck | impression | враження
erscheinen | to appear | з'являтися
der Fensterladen | shutter | жалюзі
die Fernbedienung | remote control | пульт
die Freundschaft | friendship | дружба
die Gebrauchsanweisung | instructions for use | інструкція
das Gedächtnis | memory | пам'ять
die Gefahr | danger | небезпека
geschieden | divorced | розлучений
das Geschlecht | gender | стать
getrennt | separated | розділений
das Gewicht | weight | вага
der Griff | handle | ручка
gütig | kind | лагідний
heizen | to heat | гріти
die Hütte | hut | хижа
das Jahrhundert | century | століття
das Kabel | cable | кабель
der Käfig | cage | клітка
der Kamin | fireplace | камін
die Klimaanlage | air | conditioning | кондиціонер
klopfen | to knock | стукати
der König | king | король
die Königin | queen | королева
die Kontaktlinsen | contact lenses | контактні лінзи
der Krug | jug | кувшин
lächeln | to smile | посміхатися
lächerlich | ridiculous | смішний
die Lage | situation | ситуація
der Lärm | noise | шум
lebhaft | lively | жвавий
nennen | to name | називати
neugierig | curious | допитливий
die Persönlichkeit | personality | особистість
